question,answer,accuracy,relevance,conciseness,helpfulness,reason
How does AI detect fraud?,It uses deep learning to detect anomalies globally.,4,4,4,4,Mocked JSON output
How does AI detect fraud?,It uses deep learning to detect anomalies globally.,4,4,4,4,Mocked JSON output
How does AI detect fraud?,It uses deep learning to detect anomalies globally.,4,4,4,4,Mocked JSON output
How does AI detect fraud?,It uses deep learning to detect anomalies globally.,4,4,4,4,Mocked JSON output
How does AI detect fraud?,It uses deep learning to detect anomalies globally.,4,4,4,4,Mocked JSON output
How does AI detect fraud?,It uses deep learning to detect anomalies globally.,4,4,4,4,Mocked JSON output
How does AI detect fraud?,It uses deep learning to detect anomalies globally.,4,4,4,4,Mocked JSON output
How does AI detect fraud?,It uses deep learning to detect anomalies globally.,4,4,4,4,Mocked JSON output
How does AI detect fraud?,It uses deep learning to detect anomalies globally.,4,4,4,4,Mocked JSON output
How does AI detect fraud?,It uses deep learning to detect anomalies globally.,4,4,4,4,Mocked JSON output
