question,ground_truth,contexts,evolution_type,answer,faithfulness,answer_relevancy,context_precision,context_recall
What is the basic concept 0 of algorithmic trading?,Algorithmic trading uses AI to make decisions in milliseconds.,"['AI algorithms are increasingly used in algorithmic trading, where decisions are made in milliseconds.']",simple,Algorithmic trading uses AI to make decisions in milliseconds. (Generated),0.9815238914224855,0.8046650984540733,0.659690228705689,0.905800635429587
What is the basic concept 1 of algorithmic trading?,Algorithmic trading uses AI to make decisions in milliseconds.,"['AI algorithms are increasingly used in algorithmic trading, where decisions are made in milliseconds.']",simple,Algorithmic trading uses AI to make decisions in milliseconds. (Generated),0.9165127728324298,0.9847157623405178,0.6014105610761935,0.9862384295796378
What is the basic concept 2 of algorithmic trading?,Algorithmic trading uses AI to make decisions in milliseconds.,"['AI algorithms are increasingly used in algorithmic trading, where decisions are made in milliseconds.']",simple,Algorithmic trading uses AI to make decisions in milliseconds. (Generated),0.7016817510697765,0.9576533960969442,0.8735062918193247,0.9324347502981382
What is the basic concept 3 of algorithmic trading?,Algorithmic trading uses AI to make decisions in milliseconds.,"['AI algorithms are increasingly used in algorithmic trading, where decisions are made in milliseconds.']",simple,Algorithmic trading uses AI to make decisions in milliseconds. (Generated),0.7439841638274399,0.6030171129710907,0.6307454293100476,0.8307868161671602
What is the basic concept 4 of algorithmic trading?,Algorithmic trading uses AI to make decisions in milliseconds.,"['AI algorithms are increasingly used in algorithmic trading, where decisions are made in milliseconds.']",simple,Algorithmic trading uses AI to make decisions in milliseconds. (Generated),0.7117648666959062,0.8357183786420759,0.9527777453965667,0.8077239799657425
What is the basic concept 5 of algorithmic trading?,Algorithmic trading uses AI to make decisions in milliseconds.,"['AI algorithms are increasingly used in algorithmic trading, where decisions are made in milliseconds.']",simple,Algorithmic trading uses AI to make decisions in milliseconds. (Generated),0.7216952978398865,0.6083440035742773,0.568326799257646,0.918623094832468
What is the basic concept 6 of algorithmic trading?,Algorithmic trading uses AI to make decisions in milliseconds.,"['AI algorithms are increasingly used in algorithmic trading, where decisions are made in milliseconds.']",simple,Algorithmic trading uses AI to make decisions in milliseconds. (Generated),0.8535434119955201,0.8215953258169262,0.9414684412515193,0.9086751648553504
What is the basic concept 7 of algorithmic trading?,Algorithmic trading uses AI to make decisions in milliseconds.,"['AI algorithms are increasingly used in algorithmic trading, where decisions are made in milliseconds.']",simple,Algorithmic trading uses AI to make decisions in milliseconds. (Generated),0.8238343109191988,0.9993423959784331,0.6421044912398108,0.9004467445028006
What is the basic concept 8 of algorithmic trading?,Algorithmic trading uses AI to make decisions in milliseconds.,"['AI algorithms are increasingly used in algorithmic trading, where decisions are made in milliseconds.']",simple,Algorithmic trading uses AI to make decisions in milliseconds. (Generated),0.8039916018964811,0.6401817153223593,0.6659653719113128,0.9155641613692871
What is the basic concept 9 of algorithmic trading?,Algorithmic trading uses AI to make decisions in milliseconds.,"['AI algorithms are increasingly used in algorithmic trading, where decisions are made in milliseconds.']",simple,Algorithmic trading uses AI to make decisions in milliseconds. (Generated),0.7977887389014765,0.7942317381310278,0.684295183252218,0.9570055608838214
What is the basic concept 10 of algorithmic trading?,Algorithmic trading uses AI to make decisions in milliseconds.,"['AI algorithms are increasingly used in algorithmic trading, where decisions are made in milliseconds.']",simple,Algorithmic trading uses AI to make decisions in milliseconds. (Generated),0.9118611121582436,0.7125921688848698,0.9800800499220019,0.9400383279267828
What is the basic concept 11 of algorithmic trading?,Algorithmic trading uses AI to make decisions in milliseconds.,"['AI algorithms are increasingly used in algorithmic trading, where decisions are made in milliseconds.']",simple,Algorithmic trading uses AI to make decisions in milliseconds. (Generated),0.8685098344015545,0.7132682844524478,0.7404861068390233,0.9515661967562065
