question,answer_a,answer_b,run1_winner,run2_winner,winner_after_swap,reason
How does AI detect fraud?,AI uses ML to find patterns.,It uses deep learning to detect anomalies globally.,A,A,tie,Mocked JSON output
How does AI detect fraud?,AI uses ML to find patterns.,It uses deep learning to detect anomalies globally.,A,A,tie,Mocked JSON output
How does AI detect fraud?,AI uses ML to find patterns.,It uses deep learning to detect anomalies globally.,A,A,tie,Mocked JSON output
How does AI detect fraud?,AI uses ML to find patterns.,It uses deep learning to detect anomalies globally.,A,A,tie,Mocked JSON output
How does AI detect fraud?,AI uses ML to find patterns.,It uses deep learning to detect anomalies globally.,A,A,tie,Mocked JSON output
How does AI detect fraud?,AI uses ML to find patterns.,It uses deep learning to detect anomalies globally.,A,A,tie,Mocked JSON output
How does AI detect fraud?,AI uses ML to find patterns.,It uses deep learning to detect anomalies globally.,A,A,tie,Mocked JSON output
How does AI detect fraud?,AI uses ML to find patterns.,It uses deep learning to detect anomalies globally.,A,A,tie,Mocked JSON output
How does AI detect fraud?,AI uses ML to find patterns.,It uses deep learning to detect anomalies globally.,A,A,tie,Mocked JSON output
How does AI detect fraud?,AI uses ML to find patterns.,It uses deep learning to detect anomalies globally.,A,A,tie,Mocked JSON output
